 format: day,hour,forecast,value  location:53_114 Start : 20180101 
 6,0200,+7,327.000000 
 6,0200,+10,341.000000 
 6,0200,+13,329.000000 
 6,0200,+16,351.000000 
 6,0200,+19,25.000000 
 6,0200,+22,60.000000 
 6,0200,+25,14.000000 
 6,0200,+28,336.000000 
 6,0200,+31,19.000000 
 6,0200,+34,50.000000 
 6,0200,+37,81.000000 
 6,0200,+40,51.000000 
 6,0200,+43,54.000000 
 6,0200,+46,16.000000 
 6,0200,+49,12.000000 
 6,0200,+52,353.000000 
 6,0200,+55,351.000000 
 6,0200,+58,239.000000 
 6,0200,+61,202.000000 
 6,0500,+4,327.000000 
 6,0500,+7,341.000000 
 6,0500,+10,329.000000 
 6,0500,+13,351.000000 
 6,0500,+16,25.000000 
 6,0500,+19,60.000000 
 6,0500,+22,14.000000 
 6,0500,+25,336.000000 
 6,0500,+28,19.000000 
 6,0500,+31,50.000000 
 6,0500,+34,81.000000 
 6,0500,+37,51.000000 
 6,0500,+40,54.000000 
 6,0500,+43,16.000000 
 6,0500,+46,12.000000 
 6,0500,+49,353.000000 
 6,0500,+52,351.000000 
 6,0500,+55,239.000000 
 6,0500,+58,202.000000 
 6,0800,+4,333.000000 
 6,0800,+7,330.000000 
 6,0800,+10,351.000000 
 6,0800,+13,43.000000 
 6,0800,+16,130.000000 
 6,0800,+19,162.000000 
 6,0800,+22,346.000000 
 6,0800,+25,39.000000 
 6,0800,+28,83.000000 
 6,0800,+31,71.000000 
 6,0800,+34,77.000000 
 6,0800,+37,31.000000 
 6,0800,+40,19.000000 
 6,0800,+43,360.000000 
 6,0800,+46,332.000000 
 6,0800,+49,319.000000 
 6,0800,+52,258.000000 
 6,0800,+55,271.000000 
 6,1100,+4,330.000000 
 6,1100,+7,351.000000 
 6,1100,+10,43.000000 
 6,1100,+13,130.000000 
 6,1100,+16,162.000000 
 6,1100,+19,346.000000 
 6,1100,+22,39.000000 
 6,1100,+25,83.000000 
 6,1100,+28,71.000000 
 6,1100,+31,77.000000 
 6,1100,+34,31.000000 
 6,1100,+37,19.000000 
 6,1100,+40,360.000000 
 6,1100,+43,332.000000 
 6,1100,+46,319.000000 
 6,1100,+49,258.000000 
 6,1100,+52,271.000000 
 6,1400,+4,351.000000 
 6,1400,+7,43.000000 
 6,1400,+10,130.000000 
 6,1400,+13,162.000000 
 6,1400,+16,346.000000 
 6,1400,+19,39.000000 
 6,1400,+22,83.000000 
 6,1400,+25,71.000000 
 6,1400,+28,77.000000 
 6,1400,+31,31.000000 
 6,1400,+34,19.000000 
 6,1400,+37,360.000000 
 6,1400,+40,332.000000 
 6,1400,+43,319.000000 
 6,1400,+46,258.000000 
 6,1400,+49,271.000000 
 6,1700,+4,43.000000 
 6,1700,+7,130.000000 
 6,1700,+10,162.000000 
 6,1700,+13,346.000000 
 6,1700,+16,39.000000 
 6,1700,+19,83.000000 
 6,1700,+22,71.000000 
 6,1700,+25,77.000000 
 6,1700,+28,31.000000 
 6,1700,+31,19.000000 
 6,1700,+34,360.000000 
 6,1700,+37,332.000000 
 6,1700,+40,319.000000 
 6,1700,+43,258.000000 
 6,1700,+46,271.000000 
 6,2000,+4,103.000000 
 6,2000,+7,45.000000 
 6,2000,+10,90.000000 
 6,2000,+13,75.000000 
 6,2000,+16,123.000000 
 6,2000,+19,67.000000 
 6,2000,+22,30.000000 
 6,2000,+25,19.000000 
 6,2000,+28,51.000000 
 6,2000,+31,21.000000 
 6,2000,+34,355.000000 
 6,2000,+37,273.000000 
 6,2000,+40,232.000000 
 6,2000,+43,284.000000 
 6,2000,+46,296.000000 
 6,2000,+49,313.000000 
 6,2000,+52,306.000000 
 6,2000,+55,308.000000 
 6,2000,+58,309.000000 
 6,2000,+61,304.000000 
 6,2000,+64,297.000000 
 6,2000,+67,283.000000 
 6,2300,+4,45.000000 
 6,2300,+7,90.000000 
 6,2300,+10,75.000000 
 6,2300,+13,123.000000 
 6,2300,+16,67.000000 
 6,2300,+19,30.000000 
 6,2300,+22,19.000000 
 6,2300,+25,51.000000 
 6,2300,+28,21.000000 
 6,2300,+31,355.000000 
 6,2300,+34,273.000000 
 6,2300,+37,232.000000 
 6,2300,+40,284.000000 
 6,2300,+43,296.000000 
 6,2300,+46,313.000000 
 6,2300,+49,306.000000 
 6,2300,+52,308.000000 
 6,2300,+55,309.000000 
 6,2300,+58,304.000000 
 6,2300,+61,297.000000 
 6,2300,+64,283.000000 
 7,0200,+4,90.000000 
 7,0200,+7,75.000000 
 7,0200,+10,123.000000 
 7,0200,+13,67.000000 
 7,0200,+16,30.000000 
 7,0200,+19,19.000000 
 7,0200,+22,51.000000 
 7,0200,+25,21.000000 
 7,0200,+28,355.000000 
 7,0200,+31,273.000000 
 7,0200,+34,232.000000 
 7,0200,+37,284.000000 
 7,0200,+40,296.000000 
 7,0200,+43,313.000000 
 7,0200,+46,306.000000 
 7,0200,+49,308.000000 
 7,0200,+52,309.000000 
 7,0200,+55,304.000000 
 7,0200,+58,297.000000 
 7,0200,+61,283.000000 
 7,0500,+4,75.000000 
 7,0500,+7,123.000000 
 7,0500,+10,67.000000 
 7,0500,+13,30.000000 
 7,0500,+16,19.000000 
 7,0500,+19,51.000000 
 7,0500,+22,21.000000 
 7,0500,+25,355.000000 
 7,0500,+28,273.000000 
 7,0500,+31,232.000000 
 7,0500,+34,284.000000 
 7,0500,+37,296.000000 
 7,0500,+40,313.000000 
 7,0500,+43,306.000000 
 7,0500,+46,308.000000 
 7,0500,+49,309.000000 
 7,0500,+52,304.000000 
